date	season	obs	yest.obs	two.yest.obs	three.yest.obs
1915-08-07	0	-0.382202085	-0.317758122	-0.282911391	-0.210272207
1915-08-08	0	-0.395911363	-0.382202085	-0.317758122	-0.282911391
1915-08-09	0	-0.419971507	-0.395911363	-0.382202085	-0.317758122
1915-08-10	0	-0.433415758	-0.419971507	-0.395911363	-0.382202085
1915-08-11	0	-0.465781043	-0.433415758	-0.419971507	-0.395911363
1915-08-12	0	-0.500079679	-0.465781043	-0.433415758	-0.419971507
1915-08-13	0	-0.534715176	-0.500079679	-0.465781043	-0.433415758
1915-08-14	0	-0.558791238	-0.534715176	-0.500079679	-0.465781043
1915-08-15	0	-0.570593463	-0.558791238	-0.534715176	-0.500079679
1915-08-16	0	-0.570593463	-0.570593463	-0.558791238	-0.534715176
1915-08-17	0	-0.570593463	-0.570593463	-0.570593463	-0.558791238
1915-08-18	0	-0.570593463	-0.570593463	-0.570593463	-0.570593463
1915-08-19	0	-0.570593463	-0.570593463	-0.570593463	-0.570593463
1915-08-20	0	-0.570593463	-0.570593463	-0.570593463	-0.570593463
1915-08-21	0	-0.570593463	-0.570593463	-0.570593463	-0.570593463
1915-08-22	0	-0.570593463	-0.570593463	-0.570593463	-0.570593463
1915-08-23	0	-0.570593463	-0.570593463	-0.570593463	-0.570593463
1915-08-24	0	-0.683593435	-0.570593463	-0.570593463	-0.570593463
1915-08-25	0	-0.78351546	-0.683593435	-0.570593463	-0.570593463
1915-08-26	0	-0.946366782	-0.78351546	-0.683593435	-0.570593463
1915-08-27	0	-0.967872987	-0.946366782	-0.78351546	-0.683593435
1915-08-28	0	-1.012324749	-0.967872987	-0.946366782	-0.78351546
1915-08-29	0	-1.023753445	-1.012324749	-0.967872987	-0.946366782
1915-08-30	0	-1.047010307	-1.023753445	-1.012324749	-0.967872987
1915-08-31	0	-1.118632683	-1.047010307	-1.023753445	-1.012324749
1915-09-01	0	-1.160574314	-1.118632683	-1.047010307	-1.023753445
1915-09-02	0	-1.182223786	-1.160574314	-1.118632683	-1.047010307
1915-09-03	0	-1.157284838	-1.182223786	-1.160574314	-1.118632683
1915-09-04	0	-1.134556587	-1.157284838	-1.182223786	-1.160574314
1915-09-05	0	-1.11233345	-1.134556587	-1.157284838	-1.182223786
1915-09-06	0	-1.090593463	-1.11233345	-1.134556587	-1.157284838
1915-09-07	0	-1.067813435	-1.090593463	-1.11233345	-1.134556587
1915-09-08	0	-1.045540799	-1.067813435	-1.090593463	-1.11233345
1915-09-09	0	-1.078379571	-1.045540799	-1.067813435	-1.090593463
1915-09-10	0	-1.070820956	-1.078379571	-1.045540799	-1.067813435
1915-09-11	0	-1.095212409	-1.070820956	-1.078379571	-1.045540799
1915-09-12	0	-1.058844765	-1.095212409	-1.070820956	-1.078379571
1915-09-13	0	-1.095212409	-1.058844765	-1.095212409	-1.070820956
1915-09-14	0	-0.943710737	-1.095212409	-1.058844765	-1.095212409
1915-09-15	0	-0.892019644	-0.943710737	-1.095212409	-1.058844765
1915-09-16	0	-0.862240769	-0.892019644	-0.943710737	-1.095212409
1915-09-17	0	-0.898336785	-0.862240769	-0.892019644	-0.943710737
1915-09-18	0	-0.950364122	-0.898336785	-0.862240769	-0.892019644
1915-09-19	0	-0.982931451	-0.950364122	-0.898336785	-0.862240769
1915-09-20	0	-1.058844765	-0.982931451	-0.950364122	-0.898336785
1915-09-21	0	-0.96110248	-1.058844765	-0.982931451	-0.950364122
1915-09-22	0	-1.081419087	-0.96110248	-1.058844765	-0.982931451
1915-09-23	0	-1.144234082	-1.081419087	-0.96110248	-1.058844765
1915-09-24	0	-1.292459616	-1.144234082	-1.081419087	-0.96110248
1915-09-25	0	-1.107634929	-1.292459616	-1.144234082	-1.081419087
1915-09-26	0	-1.035314268	-1.107634929	-1.292459616	-1.144234082
1915-09-27	0	-1.023753445	-1.035314268	-1.107634929	-1.292459616
1915-09-28	0	-1.035314268	-1.023753445	-1.035314268	-1.107634929
1915-09-29	0	-1.107634929	-1.035314268	-1.023753445	-1.035314268
1915-09-30	0	-1.132952737	-1.107634929	-1.035314268	-1.023753445
1915-10-01	1	-1.183908706	-1.132952737	-1.107634929	-1.035314268
1915-10-02	1	-1.195783316	-1.183908706	-1.132952737	-1.107634929
1915-10-03	1	-1.219964114	-1.195783316	-1.183908706	-1.132952737
1915-10-04	1	-1.219964114	-1.219964114	-1.195783316	-1.183908706
1915-10-05	1	-1.219964114	-1.219964114	-1.219964114	-1.195783316
1915-10-06	1	-1.195783316	-1.219964114	-1.219964114	-1.219964114
1915-10-07	1	-1.157284838	-1.195783316	-1.219964114	-1.219964114
1915-10-08	1	-1.145856142	-1.157284838	-1.195783316	-1.219964114
1915-10-09	1	-1.120213711	-1.145856142	-1.157284838	-1.195783316
1915-10-10	1	-1.16884566	-1.120213711	-1.145856142	-1.157284838
1915-10-11	1	-1.142614648	-1.16884566	-1.120213711	-1.145856142
1915-10-12	1	-1.092130743	-1.142614648	-1.16884566	-1.120213711
1915-10-13	1	-1.035314268	-1.092130743	-1.142614648	-1.16884566
1915-10-14	1	-1.035314268	-1.035314268	-1.092130743	-1.142614648
1915-10-15	1	-1.095212409	-1.035314268	-1.035314268	-1.092130743
1915-10-16	1	-1.095212409	-1.095212409	-1.035314268	-1.035314268
1915-10-17	1	-1.095212409	-1.095212409	-1.095212409	-1.035314268
1915-10-18	1	-1.095212409	-1.095212409	-1.095212409	-1.095212409
1915-10-19	1	-1.107634929	-1.095212409	-1.095212409	-1.095212409
1915-10-20	1	-1.107634929	-1.107634929	-1.095212409	-1.095212409
1915-10-21	1	-1.107634929	-1.107634929	-1.107634929	-1.095212409
1915-10-22	1	-1.070820956	-1.107634929	-1.107634929	-1.107634929
1915-10-23	1	-1.047010307	-1.070820956	-1.107634929	-1.107634929
1915-10-24	1	-0.978802057	-1.047010307	-1.070820956	-1.107634929
1915-10-25	1	-0.903419388	-0.978802057	-1.047010307	-1.070820956
1915-10-26	1	-0.945037878	-0.903419388	-0.978802057	-1.047010307
1915-10-27	1	-0.977429373	-0.945037878	-0.903419388	-0.978802057
1915-10-28	1	-1.070820956	-0.977429373	-0.945037878	-0.903419388
1915-10-29	1	-1.001025194	-1.070820956	-0.977429373	-0.945037878
1915-10-30	1	-0.957062071	-1.001025194	-1.070820956	-0.977429373
1915-10-31	1	-0.914950585	-0.957062071	-1.001025194	-1.070820956
1915-11-01	1	-0.86468875	-0.914950585	-0.957062071	-1.001025194
1915-11-02	1	-0.86468875	-0.86468875	-0.914950585	-0.957062071
1915-11-03	1	-0.894541714	-0.86468875	-0.86468875	-0.914950585
1915-11-04	1	-0.989851893	-0.894541714	-0.86468875	-0.86468875
1915-11-05	1	-0.989851893	-0.989851893	-0.894541714	-0.86468875
1915-11-06	1	-1.012324749	-0.989851893	-0.989851893	-0.894541714
1915-11-07	1	-0.850089951	-1.012324749	-0.989851893	-0.989851893
1915-11-08	1	-0.6376313	-0.850089951	-1.012324749	-0.989851893
1915-11-09	1	-0.436605554	-0.6376313	-0.850089951	-1.012324749
1915-11-10	1	-0.356808637	-0.436605554	-0.6376313	-0.850089951
1915-11-11	1	-0.373915785	-0.356808637	-0.436605554	-0.6376313
1915-11-12	1	-0.391320689	-0.373915785	-0.356808637	-0.436605554
1915-11-13	1	-0.409033898	-0.391320689	-0.373915785	-0.356808637
1915-11-14	1	-0.427857983	-0.409033898	-0.391320689	-0.373915785
1915-11-15	1	-0.447043224	-0.427857983	-0.409033898	-0.391320689
1915-11-16	1	-0.46660375	-0.447043224	-0.427857983	-0.409033898
1915-11-17	1	-0.485715258	-0.46660375	-0.447043224	-0.427857983
1915-11-18	1	-0.505199144	-0.485715258	-0.46660375	-0.447043224
1915-11-19	1	-0.525070208	-0.505199144	-0.485715258	-0.46660375
1915-11-20	1	-0.527691442	-0.525070208	-0.505199144	-0.485715258
1915-11-21	1	-0.512927821	-0.527691442	-0.525070208	-0.505199144
1915-11-22	1	-0.480694327	-0.512927821	-0.527691442	-0.525070208
1915-11-23	1	-0.382958801	-0.480694327	-0.512927821	-0.527691442
1915-11-24	1	-0.316340687	-0.382958801	-0.480694327	-0.512927821
1915-11-25	1	-0.28978427	-0.316340687	-0.382958801	-0.480694327
1915-11-26	1	-0.310690955	-0.28978427	-0.316340687	-0.382958801
