season	obs	residual	yest.residual	yest.all.obs
0	1.28510186	0.976583339	0.981352233	1.335666512
0	1.144798396	0.883778079	0.976583339	1.28510186
0	0.982861814	0.771000132	0.883778079	1.144798396
0	0.975532302	0.81131896	0.771000132	0.982861814
0	1.10746519	0.993538965	0.81131896	0.975532302
0	1.234404557	1.173939891	0.993538965	1.10746519
0	1.289968319	1.287208511	1.173939891	1.234404557
0	1.230529272	1.288742815	1.287208511	1.289968319
0	1.160689352	1.283459516	1.288742815	1.230529272
0	1.133702518	1.32502305	1.283459516	1.160689352
0	1.244909453	1.509233117	1.32502305	1.133702518
0	1.348836672	1.691194168	1.509233117	1.244909453
0	1.389829977	1.816041582	1.691194168	1.348836672
0	1.376215028	1.893098972	1.816041582	1.389829977
0	1.275481533	1.891139199	1.893098972	1.376215028
0	1.152517351	1.87673602	1.891139199	1.275481533
0	1.01453304	1.859375361	1.87673602	1.152517351
0	1.060793574	2.041497319	1.859375361	1.01453304
0	1.158211437	2.294635816	2.041497319	1.060793574
0	1.197988079	2.517097773	2.294635816	1.158211437
0	1.134675686	2.675201577	2.517097773	1.197988079
0	1.061398929	2.883748332	2.675201577	1.134675686
1	0.868674033	3.080503343	2.883748332	1.061398929
1	0.675245538	3.525531743	3.080503343	0.868674033
1	0.416627041	5.433694949	3.525531743	0.675245538
1	1.004160562	1.984473175	5.433694949	0.416627041
1	1.330957331	2.528910125	1.984473175	1.004160562
1	1.492850039	4.124929474	2.528910125	1.330957331
1	1.310999444	-0.987563365	4.124929474	1.492850039
1	1.180475246	-1.111421218	-0.987563365	1.310999444
1	1.219617369	-0.727565149	-1.111421218	1.180475246
1	1.309731012	-0.354444493	-0.727565149	1.219617369
1	1.318495884	-0.124663226	-0.354444493	1.309731012
1	1.269315729	-0.007935313	-0.124663226	1.318495884
1	1.184663057	0.029429612	-0.007935313	1.269315729
1	1.152059879	0.086906171	0.029429612	1.184663057
1	1.139197012	0.142440133	0.086906171	1.152059879
1	1.221719717	0.279390291	0.142440133	1.139197012
1	1.326891752	0.43036523	0.279390291	1.221719717
1	1.408699029	0.552872986	0.43036523	1.326891752
1	1.420493611	0.602520158	0.552872986	1.408699029
1	1.364333931	0.582786932	0.602520158	1.420493611
1	1.286706847	0.541052275	0.582786932	1.364333931
1	1.216763466	0.50690498	0.541052275	1.286706847
1	1.235659652	0.533702164	0.50690498	1.216763466
1	1.254401712	0.396269388	0.533702164	1.235659652
1	1.252436697	0.324210361	0.396269388	1.254401712
1	1.161237172	0.328279385	0.324210361	1.252436697
1	1.105274255	0.369165354	0.328279385	1.161237172
1	1.070460116	0.410474512	0.369165354	1.105274255
1	1.046093605	0.448973058	0.410474512	1.070460116
1	1.001109389	0.458912187	0.448973058	1.046093605
1	0.969302394	0.477545207	0.458912187	1.001109389
1	0.984405943	0.54092777	0.477545207	0.969302394
1	1.000049824	0.604124816	0.54092777	0.984405943
1	1.014397874	0.666228693	0.604124816	1.000049824
1	1.042516036	0.742882279	0.666228693	1.014397874
1	1.073253229	0.819311406	0.742882279	1.042516036
